SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014734,약국,진약국,"서울특별시 마포구 토정로 222, 203호 (신수동, 한국출판협동조합)",,126.9352969427,37.5444979032,14130372.619354341,4515276.984707815,
SFT0014735,약국,참마음약국,"서울특별시 마포구 양화로 73, (서교동)",,126.91596196574262,37.55144503858425,14128220.259564945,4516252.400033391,
SFT0014736,약국,참사랑이화약국,"서울특별시 마포구 연남로 42, 상가B동 117호 (연남동, 코오롱하늘채아파트)",,126.921544751313,37.5630866997552,14128841.732411845,4517887.155995237,
SFT0014737,약국,참약국,서울특별시 마포구 와우산로 149 1층,,126.9297065601,37.5546039094,14129750.300809968,4516695.952624539,
SFT0014738,약국,참조은약국,"서울특별시 마포구 마포대로 92, 1층 (도화동, 효성 해링턴 스퀘어)",,126.951334598,37.542844159,14132157.922975853,4515044.803486059,
SFT0014739,약국,천사약국,"서울특별시 마포구 양화로 48, 1층 (합정동)",,126.91436182351137,37.54942925701846,14128042.132546565,4515969.364053094,
SFT0014796,약국,청심약국,"서울특별시 마포구 희우정로 42-9, 101호 (합정동)",,126.9069406332,37.5511535579,14127216.009420022,4516211.472743989,
SFT0014797,약국,청춘약국,"서울특별시 마포구 마포대로 25, 103호 (마포동, 신한디엠빌딩)",,126.9448330432,37.5393778576,14131434.173206154,4514558.16083621,
SFT0014798,약국,최국희약국,서울특별시 마포구 독막로 63,,126.92053895879958,37.5479884071645,14128729.768101411,4515767.058951376,
SFT0014799,약국,태평양약국,"서울특별시 마포구 홍익로 1, 1층 (서교동)",,126.92396827695117,37.552848809367106,14129111.518051814,4516449.508073823,
SFT0014800,약국,토정약국,"서울특별시 마포구 토정로32길 13, 105호(토정동,삼성상가)",,126.94102613715628,37.54010402576404,14131010.390363868,4514660.107512281,
SFT0014801,약국,파마트엘지약국,"서울특별시 마포구 양화로 156, 116호(동교동,엘지팰리스빌딩)",,126.92344435428197,37.55611729020577,14129053.195247063,4516908.460529939,
