정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB102000162,용산푸르지오써밋,37.5274333,126.9645,2.0221E+13,3256,11,서울특별시,경기도
GGB102000163,용산푸르지오써밋,37.52735,126.9647167,2.0221E+13,3257,11,서울특별시,경기도
GGB102000164,용산역광장앞,37.5289167,126.9660333,2.0221E+13,3258,11,서울특별시,경기도
GGB102000165,용산공고,37.5256333,126.9660167,2.0221E+13,3259,11,서울특별시,경기도
GGB102000166,용산공고,37.5254333,126.9668667,2.0221E+13,3260,11,서울특별시,경기도
GGB102000167,용산세무서,37.5236667,126.9693167,2.0221E+13,3261,11,서울특별시,경기도
GGB102000168,용산세무서,37.5236667,126.97015,2.0221E+13,3262,11,서울특별시,경기도
GGB102000169,이촌역,37.5227,126.9739,2.0221E+13,3263,11,서울특별시,경기도
GGB102000170,이촌역,37.5225667,126.97325,2.0221E+13,3264,11,서울특별시,경기도
GGB102000171,국립중앙박물관용산가족공원,37.5209667,126.9783667,2.0221E+13,3265,11,서울특별시,경기도
GGB102000172,국립중앙박물관용산가족공원,37.5208667,126.9798,2.0221E+13,3266,11,서울특별시,경기도
GGB102000173,서빙고역교차로,37.5204167,126.9900833,2.0221E+13,3267,11,서울특별시,경기도
GGB102000232,문배동이안아파트앞,37.5389,126.97105,2.0221E+13,3326,11,서울특별시,경기도
GGB102000233,갈월동.4호선숙대입구,37.5463,126.9715833,2.0221E+13,3327,11,서울특별시,경기도
GGB102000236,숙대입구,37.5445667,126.9705167,2.0221E+13,3330,11,서울특별시,경기도
GGB102000237,원효대교북단,37.5321667,126.95575,2.0221E+13,3331,11,서울특별시,경기도
GGB102000238,문배동이안아파트앞,37.53855,126.9706833,2.0221E+13,3332,11,서울특별시,경기도
GGB102000247,노들섬,37.51815,126.9589667,2.0221E+13,3340,11,서울특별시,경기도
GGB102000248,노들섬,37.5180667,126.9595167,2.0221E+13,3341,11,서울특별시,경기도
GGB102000254,용마루고개.브라운스톤공덕아파트,37.5411833,126.9566833,2.0221E+13,14336,11,서울특별시,경기도
GGB102000297,용산꿈나무종합타운,37.5385167,126.96725,2.0221E+13,3346,11,서울특별시,경기도
GGB103000001,답십리역사거리(중),37.5655667,127.05425,2.0221E+13,4001,11,서울특별시,경기도
GGB103000002,청년회의소.서울새활용플라자(중),37.5619833,127.0604667,2.0221E+13,4002,11,서울특별시,경기도
GGB103000003,장한평역(중),37.5612,127.0662167,2.0221E+13,4003,11,서울특별시,경기도
GGB103000005,상왕십리역,37.5647333,127.0286667,2.0221E+13,4102,11,서울특별시,경기도
GGB103000006,왕십리센트라스아파트,37.5652,127.0249,2.0221E+13,4103,11,서울특별시,경기도
GGB103000007,왕십리교회,37.5664333,127.0237,2.0221E+13,4104,11,서울특별시,경기도
GGB103000008,청계벽산아파트.텐즈힐아파트,37.5687667,127.0304,2.0221E+13,4106,11,서울특별시,경기도
GGB103000009,청계벽산아파트.텐즈힐아파트,37.5682167,127.0300667,2.0221E+13,4107,11,서울특별시,경기도
GGB103000010,왕십리도선동주민센터,37.5676167,127.0245,2.0221E+13,4108,11,서울특별시,경기도
GGB103000011,왕십리2동주민센터,37.5625,127.0332667,2.0221E+13,4109,11,서울특별시,경기도
GGB103000012,코스모타워,37.5630167,127.0329,2.0221E+13,4110,11,서울특별시,경기도
GGB103000015,상왕십리역,37.5648833,127.0302167,2.0221E+13,4113,11,서울특별시,경기도
GGB103000016,상왕십리역,37.5654667,127.0299667,2.0221E+13,4114,11,서울특별시,경기도
GGB103000030,한양대정문,37.5564333,127.04315,2.0221E+13,4129,11,서울특별시,경기도
GGB103000031,한양대정문앞,37.5568167,127.0433,2.0221E+13,4130,11,서울특별시,경기도
GGB103000034,왕십리역,37.5599833,127.0362,2.0221E+13,4133,11,서울특별시,경기도
GGB103000035,왕십리역,37.5603833,127.03625,2.0221E+13,4134,11,서울특별시,경기도
GGB103000037,행당1동주민센터.성동소방서,37.5582,127.0386,2.0221E+13,4136,11,서울특별시,경기도
GGB103000038,행당동삼부아파트,37.5587667,127.0379333,2.0221E+13,4137,11,서울특별시,경기도
GGB103000088,상원,37.5514,127.04595,2.0221E+13,4187,11,서울특별시,경기도
GGB103000089,상원,37.55175,127.0468167,2.0221E+13,4188,11,서울특별시,경기도
GGB103000090,영동대교북단,37.5367667,127.0606333,2.0221E+13,4189,11,서울특별시,경기도
GGB103000091,노룬산시장앞,37.5394167,127.0622,2.0221E+13,4190,11,서울특별시,경기도
GGB103000108,화양사거리,37.54705,127.06655,2.0221E+13,4207,11,서울특별시,경기도
